ubg0:0 lbg0:0
ubg113:0 lbg113:0
ubg114:0 lbg114:0
ubg115:0 lbg115:0
ubg116:0 lbg116:0
ubg117:0 lbg117:0
ubg118:0 lbg118:0
ubg119:0 lbg119:0
ubg120:0 lbg120:0
ubg121:0 lbg121:0
ubg122:0 lbg122:0
ubg123:0 lbg123:0
ubg124:0 lbg124:0
ubg125:0 lbg125:0
ubg126:0 lbg126:0
ubg127:0 lbg127:0
ubg128:0 lbg128:0
ubg129:0 lbg129:0
ubg130:0 lbg130:0
ubg131:0 lbg131:0
ubg132:0 lbg132:0
ubg133:0 lbg133:0
ubg134:0 lbg134:0
ubg135:0 lbg135:0
ubg136:0 lbg136:0
ubg137:0 lbg137:0
ubg138:0 lbg138:0
ubg139:0 lbg139:0
ubg140:0 lbg140:0
ubg141:0 lbg141:0
ubg142:0 lbg142:0
ubg143:0 lbg143:0
ubg144:0 lbg144:0
ubg145:0 lbg145:0
ubg146:0 lbg146:0
ubg147:0 lbg147:0
ubg148:0 lbg148:0
ubg149:0 lbg149:0
ubg150:0 lbg150:0
ubg151:0 lbg151:0
ubg152:0 lbg152:0
ubg153:0 lbg153:0
ubg154:0 lbg154:0
ubg155:0 lbg155:0
ubg156:0 lbg156:0
ubg157:0 lbg157:0
ubg158:0 lbg158:0
ubg159:0 lbg159:0
ubg160:0 lbg160:0
ubg161:0 lbg161:0
ubg162:0 lbg162:0
ubg163:0 lbg163:0
ubg164:0 lbg164:0
ubg165:0 lbg165:0
ubg166:0 lbg166:0
ubg167:0 lbg167:0
ubg168:0 lbg168:0
ubg169:0 lbg169:0
ubg170:0 lbg170:0
ubg171:0 lbg171:0
ubg172:0 lbg172:0
ubg173:0 lbg173:0
ubg174:0 lbg174:0
ubg175:0 lbg175:0
ubg176:0 lbg176:0
ubg177:0 lbg177:0
ubg178:0 lbg178:0
ubg179:0 lbg179:0
ubg180:0 lbg180:0
ubg181:0 lbg181:0
ubg182:0 lbg182:0
ubg183:0 lbg183:0
ubg184:0 lbg184:0
ubg185:0 lbg185:0
ubg186:0 lbg186:0
ubg187:0 lbg187:0
ubg188:0 lbg188:0
ubg189:0 lbg189:0
ubg190:0 lbg190:0
ubg191:0 lbg191:0
ubg192:0 lbg192:0
ubg193:0 lbg193:0
ubg194:0 lbg194:0
ubg195:0 lbg195:0
ubg196:0 lbg196:0
ubg197:0 lbg197:0
ubg198:0 lbg198:0
ubg199:0 lbg199:0
ubg200:0 lbg200:0
ubg201:0 lbg201:0
ubg202:0 lbg202:0
ubg203:0 lbg203:0
ubg204:0 lbg204:0
ubg205:0 lbg205:0
ubg206:0 lbg206:0
ubg207:0 lbg207:0
ubg208:0 lbg208:0
ubg209:0 lbg209:0
ubg210:0 lbg210:0
ubg211:0 lbg211:0
ubg212:0 lbg212:0
ubg213:0 lbg213:0
ubg214:0 lbg214:0
ubg215:0 lbg215:0
ubg216:0 lbg216:0
ubg217:0 lbg217:0
ubg218:0 lbg218:0
ubg219:0 lbg219:0
ubg220:0 lbg220:0
ubg221:0 lbg221:0
ubg222:0 lbg222:0
ubg223:0 lbg223:0
ubg224:0 lbg224:0
ubg225:0 lbg225:0
ubg226:0 lbg226:0
ubg227:0 lbg227:0
ubg228:0 lbg228:0
ubg229:0 lbg229:0
ubg230:0 lbg230:0
ubg231:0 lbg231:0
ubg232:0 lbg232:0
ubg233:0 lbg233:0
ubg234:0 lbg234:0
ubg235:0 lbg235:0
ubg236:0 lbg236:0
ubg237:0 lbg237:0
ubg238:0 lbg238:0
ubg239:0 lbg239:0
ubg240:0 lbg240:0
ubg241:0 lbg241:0
ubg242:0 lbg242:0
ubg243:0 lbg243:0
ubg244:0 lbg244:0
ubg245:0 lbg245:0
ubg246:0 lbg246:0
ubg247:0 lbg247:0
ubg248:0 lbg248:0
ubg249:0 lbg249:0
ubg250:0 lbg250:0
ubg251:0 lbg251:0
ubg252:0 lbg252:0
ubg253:0 lbg253:0
ubg254:0 lbg254:0
ubg255:0 lbg255:0
ubg256:0 lbg256:0
ubg257:0 lbg257:0
ubg258:0 lbg258:0
ubg259:0 lbg259:0
ubg260:0 lbg260:0
ubg261:0 lbg261:0
ubg262:0 lbg262:0
ubg263:0 lbg263:0
ubg264:0 lbg264:0
ubg265:0 lbg265:0
ubg266:0 lbg266:0
ubg267:0 lbg267:0
ubg268:0 lbg268:0
ubg269:0 lbg269:0
ubg270:0 lbg270:0
ubg271:0 lbg271:0
ubg272:0 lbg272:0
ubg273:0 lbg273:0
ubg274:0 lbg274:0
ubg275:0 lbg275:0
ubg276:0 lbg276:0
ubg277:0 lbg277:0
ubg278:0 lbg278:0
ubg279:0 lbg279:0
ubg280:0 lbg280:0
ubg281:0 lbg281:0
ubg282:0 lbg282:0
ubg283:0 lbg283:0
ubg284:0 lbg284:0
ubg285:0 lbg285:0
ubg286:0 lbg286:0
ubg287:0 lbg287:0
ubg288:0 lbg288:0
ubg289:0 lbg289:0
ubg290:0 lbg290:0
ubg291:0 lbg291:0
ubg292:0 lbg292:0
ubg293:0 lbg293:0
ubg294:0 lbg294:0
ubg295:0 lbg295:0
ubg296:0 lbg296:0
ubg297:0 lbg297:0
ubg298:0 lbg298:0
ubg299:0 lbg299:0
ubg300:0 lbg300:0
ubg301:0 lbg301:0
ubg302:0 lbg302:0
ubg303:0 lbg303:0
ubg304:0 lbg304:0
ubg305:0 lbg305:0
ubg306:0 lbg306:0
ubg307:0 lbg307:0
ubg308:0 lbg308:0
ubg309:0 lbg309:0
ubg310:0 lbg310:0
ubg311:0 lbg311:0
ubg312:0 lbg312:0
ubg313:0 lbg313:0
ubg314:0 lbg314:0
ubg315:0 lbg315:0
ubg316:0 lbg316:0
ubg317:0 lbg317:0
ubg318:0 lbg318:0
ubg319:0 lbg319:0
ubg320:0 lbg320:0
ubg321:0 lbg321:0
ubg322:0 lbg322:0
ubg323:0 lbg323:0
ubg324:0 lbg324:0
ubg325:0 lbg325:0
ubg326:0 lbg326:0
ubg327:0 lbg327:0
ubg328:0 lbg328:0
ubg329:0 lbg329:0
ubg330:0 lbg330:0
ubg331:0 lbg331:0
ubg332:0 lbg332:0
ubg333:0 lbg333:0
ubg334:0 lbg334:0
ubg335:0 lbg335:0
ubg336:0 lbg336:0
ubg337:0 lbg337:0
ubg338:0 lbg338:0
ubg339:0 lbg339:0
ubg340:0 lbg340:0
ubg341:0 lbg341:0
ubg342:0 lbg342:0
ubg343:0 lbg343:0
ubg344:0 lbg344:0
ubg345:0 lbg345:0
ubg346:0 lbg346:0
ubg347:0 lbg347:0
ubg348:0 lbg348:0
ubg349:0 lbg349:0
ubg350:0 lbg350:0
ubg351:0 lbg351:0
ubg352:0 lbg352:0
ubg353:0 lbg353:0
ubg354:0 lbg354:0
ubg355:0 lbg355:0
ubg356:0 lbg356:0
ubg357:0 lbg357:0
ubg358:0 lbg358:0
ubg359:0 lbg359:0
ubg360:0 lbg360:0
ubg361:0 lbg361:0
ubg362:0 lbg362:0
ubg363:0 lbg363:0
ubg364:0 lbg364:0
ubg365:0 lbg365:0
ubg366:0 lbg366:0
ubg367:0 lbg367:0
ubg368:0 lbg368:0
ubg369:0 lbg369:0
ubg370:0 lbg370:0
ubg371:0 lbg371:0
ubg372:0 lbg372:0
ubg373:0 lbg373:0
ubg374:0 lbg374:0
ubg375:0 lbg375:0
ubg376:0 lbg376:0
ubg377:0 lbg377:0
ubg378:0 lbg378:0
ubg379:0 lbg379:0
ubg380:0 lbg380:0
ubg381:0 lbg381:0
ubg382:0 lbg382:0
ubg383:0 lbg383:0
ubg384:0 lbg384:0
ubg385:0 lbg385:0
ubg386:0 lbg386:0
ubg387:0 lbg387:0
ubg388:0 lbg388:0
ubg389:0 lbg389:0
ubg390:0 lbg390:0
ubg391:0 lbg391:0
ubg392:0 lbg392:0
ubg393:0 lbg393:0
ubg394:0 lbg394:0
ubg395:0 lbg395:0
ubg396:0 lbg396:0
ubg397:0 lbg397:0
ubg398:0 lbg398:0
ubg399:0 lbg399:0
ubg400:0 lbg400:0
ubg401:0 lbg401:0
ubg402:0 lbg402:0
ubg403:0 lbg403:0
ubg404:0 lbg404:0
ubg405:0 lbg405:0
ubg406:0 lbg406:0
ubg407:0 lbg407:0
ubg408:0 lbg408:0
ubg409:0 lbg409:0
ubg410:0 lbg410:0
ubg411:0 lbg411:0
ubg412:0 lbg412:0
ubg413:0 lbg413:0
ubg414:0 lbg414:0
ubg415:0 lbg415:0
ubg416:0 lbg416:0
ubg417:0 lbg417:0
ubg418:0 lbg418:0
ubg419:0 lbg419:0
ubg420:0 lbg420:0
ubg421:0 lbg421:0
ubg422:0 lbg422:0
ubg423:0 lbg423:0
ubg424:0 lbg424:0
ubg425:0 lbg425:0
ubg426:0 lbg426:0
ubg427:0 lbg427:0
ubg428:0 lbg428:0
ubg429:0 lbg429:0
ubg430:0 lbg430:0
ubg431:0 lbg431:0
ubg432:0 lbg432:0
ubg433:0 lbg433:0
ubg434:0 lbg434:0
ubg435:0 lbg435:0
ubg436:0 lbg436:0
ubg437:0 lbg437:0
ubg438:0 lbg438:0
ubg439:0 lbg439:0
ubg440:0 lbg440:0
ubg441:0 lbg441:0
ubg442:0 lbg442:0
ubg443:0 lbg443:0
ubg444:0 lbg444:0
ubg445:0 lbg445:0
ubg446:0 lbg446:0
ubg447:0 lbg447:0
ubg448:0 lbg448:0
ubg449:0 lbg449:0
ubg450:0 lbg450:0
ubg451:0 lbg451:0
ubg452:0 lbg452:0
ubg453:0 lbg453:0
ubg454:0 lbg454:0
ubg455:0 lbg455:0
ubg456:0 lbg456:0
ubg457:0 lbg457:0
ubg458:0 lbg458:0
ubg459:0 lbg459:0
ubg460:0 lbg460:0
ubg461:0 lbg461:0
ubg462:0 lbg462:0
ubg463:0 lbg463:0
ubg464:0 lbg464:0
ubg465:0 lbg465:0
ubg466:0 lbg466:0
ubg467:0 lbg467:0
ubg468:0 lbg468:0
ubg469:0 lbg469:0
ubg470:0 lbg470:0
ubg471:0 lbg471:0
ubg472:0 lbg472:0
ubg473:0 lbg473:0
ubg474:0 lbg474:0
ubg475:0 lbg475:0
ubg476:0 lbg476:0
ubg477:0 lbg477:0
ubg478:0 lbg478:0
ubg479:0 lbg479:0
ubg480:0 lbg480:0
ubg481:0 lbg481:0
ubg482:0 lbg482:0
ubg483:0 lbg483:0
ubg484:0 lbg484:0
ubg485:0 lbg485:0
ubg486:0 lbg486:0
ubg487:0 lbg487:0
ubg488:0 lbg488:0
ubg489:0 lbg489:0
ubg490:0 lbg490:0
ubg491:0 lbg491:0
ubg492:0 lbg492:0
ubg493:0 lbg493:0
ubg494:0 lbg494:0
ubg495:0 lbg495:0
ubg496:0 lbg496:0
ubg497:0 lbg497:0
ubg498:0 lbg498:0
ubg499:0 lbg499:0
ubg500:0 lbg500:0
ubg501:0 lbg501:0
ubg502:0 lbg502:0
ubg503:0 lbg503:0
ubg504:0 lbg504:0
ubg505:0 lbg505:0
ubg506:0 lbg506:0
ubg507:0 lbg507:0
ubg508:0 lbg508:0
ubg509:0 lbg509:0
ubg510:0 lbg510:0
ubg511:0 lbg511:0
ubg512:0 lbg512:0
ubg513:0 lbg513:0
ubg514:0 lbg514:0
ubg515:0 lbg515:0
ubg516:0 lbg516:0
ubg517:0 lbg517:0
ubg518:0 lbg518:0
ubg519:0 lbg519:0
ubg520:0 lbg520:0
ubg521:0 lbg521:0
ubg522:0 lbg522:0
ubg523:0 lbg523:0
ubg524:0 lbg524:0
ubg525:0 lbg525:0
ubg526:0 lbg526:0
ubg527:0 lbg527:0
ubg528:0 lbg528:0
ubg529:0 lbg529:0
ubg530:0 lbg530:0
ubg531:0 lbg531:0
ubg532:0 lbg532:0
ubg533:0 lbg533:0
ubg534:0 lbg534:0
ubg535:0 lbg535:0
ubg536:0 lbg536:0
ubg537:0 lbg537:0
ubg538:0 lbg538:0
ubg539:0 lbg539:0
ubg540:0 lbg540:0
ubg541:0 lbg541:0
ubg542:0 lbg542:0
ubg543:0 lbg543:0
ubg544:0 lbg544:0
ubg545:0 lbg545:0
ubg546:0 lbg546:0
ubg547:0 lbg547:0
ubg548:0 lbg548:0
ubg549:0 lbg549:0
ubg550:0 lbg550:0
ubg551:0 lbg551:0
ubg552:0 lbg552:0
ubg553:0 lbg553:0
ubg554:0 lbg554:0
ubg555:0 lbg555:0
ubg556:0 lbg556:0
ubg557:0 lbg557:0
ubg558:0 lbg558:0
ubg559:0 lbg559:0
ubg560:0 lbg560:0
ubg561:0 lbg561:0
ubg562:0 lbg562:0
ubg563:0 lbg563:0
ubg564:0 lbg564:0
ubg565:0 lbg565:0
ubg566:0 lbg566:0
ubg567:0 lbg567:0
ubg568:0 lbg568:0
ubg569:0 lbg569:0
ubg570:0 lbg570:0
ubg571:0 lbg571:0
ubg572:0 lbg572:0
ubg573:0 lbg573:0
ubg574:0 lbg574:0
ubg575:0 lbg575:0
ubg576:0 lbg576:0
ubg577:0 lbg577:0
ubg578:0 lbg578:0
ubg579:0 lbg579:0
ubg580:0 lbg580:0
ubg581:0 lbg581:0
ubg582:0 lbg582:0
ubg583:0 lbg583:0
ubg584:0 lbg584:0
ubg585:0 lbg585:0
ubg586:0 lbg586:0
ubg587:0 lbg587:0
ubg588:0 lbg588:0
ubg589:0 lbg589:0
ubg590:0 lbg590:0
ubg591:0 lbg591:0
ubg592:0 lbg592:0
ubg593:0 lbg593:0
ubg594:0 lbg594:0
ubg595:0 lbg595:0
ubg596:0 lbg596:0
ubg597:0 lbg597:0
ubg598:0 lbg598:0
ubg599:0 lbg599:0
ubg600:0 lbg600:0
ubg601:0 lbg601:0
ubg602:0 lbg602:0
ubg603:0 lbg603:0
ubg604:0 lbg604:0
ubg605:0 lbg605:0
ubg606:0 lbg606:0
ubg607:0 lbg607:0
ubg608:0 lbg608:0
ubg609:0 lbg609:0
ubg610:0 lbg610:0
ubg611:0 lbg611:0
ubg612:0 lbg612:0
ubg613:0 lbg613:0
ubg614:0 lbg614:0
ubg615:0 lbg615:0
ubg616:0 lbg616:0
ubg617:0 lbg617:0
ubg618:0 lbg618:0
ubg619:0 lbg619:0
ubg620:0 lbg620:0
ubg621:0 lbg621:0
ubg622:0 lbg622:0
ubg623:0 lbg623:0
ubg624:0 lbg624:0
ubg625:0 lbg625:0
ubg626:0 lbg626:0
ubg627:0 lbg627:0
ubg628:0 lbg628:0
ubg629:0 lbg629:0
ubg630:0 lbg630:0
ubg631:0 lbg631:0
ubg632:0 lbg632:0
ubg633:0 lbg633:0
ubg634:0 lbg634:0
ubg635:0 lbg635:0
ubg636:0 lbg636:0
ubg637:0 lbg637:0
ubg638:0 lbg638:0
ubg639:0 lbg639:0
ubg640:0 lbg640:0
ubg641:0 lbg641:0
ubg642:0 lbg642:0
ubg643:0 lbg643:0
ubg644:0 lbg644:0
ubg645:0 lbg645:0
ubg646:0 lbg646:0
ubg647:0 lbg647:0
ubg648:0 lbg648:0
ubg649:0 lbg649:0
ubg650:0 lbg650:0
ubg651:0 lbg651:0
ubg652:0 lbg652:0
ubg653:0 lbg653:0
ubg654:0 lbg654:0
ubg655:0 lbg655:0
ubg656:0 lbg656:0
ubg657:0 lbg657:0
ubg658:0 lbg658:0
ubg659:0 lbg659:0
ubg660:0 lbg660:0
ubg661:0 lbg661:0
ubg662:0 lbg662:0
ubg663:0 lbg663:0
ubg664:0 lbg664:0
ubg665:0 lbg665:0
ubg666:0 lbg666:0
ubg667:0 lbg667:0
ubg668:0 lbg668:0
ubg669:0 lbg669:0
ubg670:0 lbg670:0
ubg671:0 lbg671:0
ubg672:0 lbg672:0
ubg673:0 lbg673:0
ubg674:0 lbg674:0
ubg675:0 lbg675:0
ubg676:0 lbg676:0
ubg677:0 lbg677:0
ubg678:0 lbg678:0
ubg679:0 lbg679:0
ubg680:0 lbg680:0
ubg681:0 lbg681:0
ubg682:0 lbg682:0
ubg683:0 lbg683:0
ubg684:0 lbg684:0
ubg685:0 lbg685:0
ubg686:0 lbg686:0
ubg687:0 lbg687:0
ubg688:0 lbg688:0
ubg689:0 lbg689:0
ubg690:0 lbg690:0
ubg691:0 lbg691:0
ubg692:0 lbg692:0
ubg693:0 lbg693:0
ubg694:0 lbg694:0
ubg695:0 lbg695:0
ubg696:0 lbg696:0
ubg697:0 lbg697:0
ubg698:0 lbg698:0
ubg699:0 lbg699:0
ubg700:0 lbg700:0
ubg701:0 lbg701:0
ubg702:0 lbg702:0
ubg703:0 lbg703:0
ubg704:0 lbg704:0
ubg705:0 lbg705:0
ubg706:0 lbg706:0
ubg707:0 lbg707:0
ubg708:0 lbg708:0
ubg709:0 lbg709:0
ubg710:0 lbg710:0
ubg711:0 lbg711:0
ubg712:0 lbg712:0
ubg713:0 lbg713:0
ubg714:0 lbg714:0
ubg715:0 lbg715:0
ubg716:0 lbg716:0
ubg717:0 lbg717:0
ubg718:0 lbg718:0
ubg719:0 lbg719:0
ubg720:0 lbg720:0
ubg721:0 lbg721:0
ubg722:0 lbg722:0
ubg723:0 lbg723:0
ubg724:0 lbg724:0
ubg725:0 lbg725:0
ubg726:0 lbg726:0
ubg727:0 lbg727:0
ubg728:0 lbg728:0
ubg729:0 lbg729:0
ubg730:0 lbg730:0
ubg731:0 lbg731:0
ubg732:0 lbg732:0
ubg733:0 lbg733:0
ubg734:0 lbg734:0
ubg735:0 lbg735:0
ubg736:0 lbg736:0
ubg737:0 lbg737:0
ubg738:0 lbg738:0
ubg739:0 lbg739:0
ubg740:0 lbg740:0
ubg741:0 lbg741:0
ubg742:0 lbg742:0
ubg743:0 lbg743:0
ubg744:0 lbg744:0
ubg745:0 lbg745:0
ubg746:0 lbg746:0
ubg747:0 lbg747:0
ubg748:0 lbg748:0
ubg749:0 lbg749:0
ubg750:0 lbg750:0
ubg751:0 lbg751:0
ubg752:0 lbg752:0
ubg753:0 lbg753:0
ubg754:0 lbg754:0
ubg755:0 lbg755:0
ubg756:0 lbg756:0
ubg757:0 lbg757:0
ubg758:0 lbg758:0
ubg759:0 lbg759:0
ubg760:0 lbg760:0
ubg761:0 lbg761:0
ubg762:0 lbg762:0
ubg763:0 lbg763:0
ubg764:0 lbg764:0
ubg765:0 lbg765:0
ubg766:0 lbg766:0
ubg767:0 lbg767:0
ubg768:0 lbg768:0
ubg769:0 lbg769:0
ubg770:0 lbg770:0
ubg771:0 lbg771:0
ubg772:0 lbg772:0
ubg773:0 lbg773:0
ubg774:0 lbg774:0
ubg775:0 lbg775:0
ubg776:0 lbg776:0
ubg777:0 lbg777:0
ubg778:0 lbg778:0
ubg779:0 lbg779:0
ubg780:0 lbg780:0
ubg781:0 lbg781:0
ubg782:0 lbg782:0
ubg783:0 lbg783:0
ubg784:0 lbg784:0
ubg785:0 lbg785:0
ubg786:0 lbg786:0
ubg787:0 lbg787:0
ubg788:0 lbg788:0
ubg789:0 lbg789:0
ubg790:0 lbg790:0
ubg791:0 lbg791:0
ubg792:0 lbg792:0
ubg793:0 lbg793:0
ubg794:0 lbg794:0
ubg795:0 lbg795:0
ubg796:0 lbg796:0
ubg797:0 lbg797:0
ubg798:0 lbg798:0
ubg799:0 lbg799:0
ubg800:0 lbg800:0
ubg801:0 lbg801:0
ubg802:0 lbg802:0
ubg803:0 lbg803:0
ubg804:0 lbg804:0
ubg805:0 lbg805:0
ubg806:0 lbg806:0
ubg807:0 lbg807:0
ubg808:0 lbg808:0
ubg809:0 lbg809:0
ubg810:0 lbg810:0
ubg811:0 lbg811:0
ubg812:0 lbg812:0
ubg813:0 lbg813:0
ubg814:0 lbg814:0
ubg815:0 lbg815:0
ubg816:0 lbg816:0
ubg817:0 lbg817:0
ubg818:0 lbg818:0
ubg819:0 lbg819:0
ubg820:0 lbg820:0
ubg821:0 lbg821:0
ubg822:0 lbg822:0
ubg823:0 lbg823:0
ubg824:0 lbg824:0
ubg825:0 lbg825:0
ubg826:0 lbg826:0
ubg827:0 lbg827:0
ubg828:0 lbg828:0
ubg829:0 lbg829:0
ubg830:0 lbg830:0
ubg831:0 lbg831:0
ubg832:0 lbg832:0
ubg833:0 lbg833:0
ubg834:0 lbg834:0
ubg835:0 lbg835:0
ubg836:0 lbg836:0
ubg837:0 lbg837:0
ubg838:0 lbg838:0
ubg839:0 lbg839:0
ubg840:0 lbg840:0
ubg841:0 lbg841:0
ubg842:0 lbg842:0
ubg843:0 lbg843:0
ubg844:0 lbg844:0
ubg845:0 lbg845:0
ubg846:0 lbg846:0
ubg847:0 lbg847:0
ubg848:0 lbg848:0
ubg849:0 lbg849:0
ubg850:0 lbg850:0
ubg851:0 lbg851:0
ubg852:0 lbg852:0
ubg853:0 lbg853:0
ubg854:0 lbg854:0
ubg855:0 lbg855:0
ubg856:0 lbg856:0
ubg857:0 lbg857:0
ubg858:0 lbg858:0
ubg859:0 lbg859:0
ubg860:0 lbg860:0
ubg861:0 lbg861:0
ubg862:0 lbg862:0
ubg863:0 lbg863:0
ubg864:0 lbg864:0
ubg865:0 lbg865:0
ubg866:0 lbg866:0
ubg867:0 lbg867:0
ubg868:0 lbg868:0
ubg869:0 lbg869:0
ubg870:0 lbg870:0
ubg871:0 lbg871:0
ubg872:0 lbg872:0
ubg873:0 lbg873:0
ubg874:0 lbg874:0
ubg875:0 lbg875:0
ubg876:0 lbg876:0
ubg877:0 lbg877:0
ubg878:0 lbg878:0
ubg879:0 lbg879:0
ubg880:0 lbg880:0
ubg881:0 lbg881:0
ubg882:0 lbg882:0
ubg883:0 lbg883:0
ubg884:0 lbg884:0
ubg885:0 lbg885:0
ubg886:0 lbg886:0
ubg887:0 lbg887:0
ubg888:0 lbg888:0
ubg889:0 lbg889:0
ubg890:0 lbg890:0
ubg891:0 lbg891:0
ubg892:0 lbg892:0
ubg893:0 lbg893:0
ubg894:0 lbg894:0
ubg895:0 lbg895:0
ubg896:0 lbg896:0
ubg897:0 lbg897:0
ubg898:0 lbg898:0
ubg899:0 lbg899:0
ubg900:0 lbg900:0
ubg901:0 lbg901:0
ubg902:0 lbg902:0
ubg903:0 lbg903:0
ubg904:0 lbg904:0
ubg905:0 lbg905:0
ubg906:0 lbg906:0
ubg907:0 lbg907:0
ubg908:0 lbg908:0
ubg909:0 lbg909:0
ubg910:0 lbg910:0
ubg911:0 lbg911:0
ubg912:0 lbg912:0
ubg913:0 lbg913:0
ubg914:0 lbg914:0
ubg915:0 lbg915:0
ubg916:0 lbg916:0
ubg917:0 lbg917:0
ubg918:0 lbg918:0
ubg919:0 lbg919:0
ubg920:0 lbg920:0
ubg921:0 lbg921:0
ubg922:0 lbg922:0
ubg923:0 lbg923:0
ubg924:0 lbg924:0
ubg925:0 lbg925:0
ubg926:0 lbg926:0
ubg927:0 lbg927:0
ubg928:0 lbg928:0
ubg929:0 lbg929:0
ubg930:0 lbg930:0
ubg931:0 lbg931:0
ubg932:0 lbg932:0
ubg933:0 lbg933:0
ubg934:0 lbg934:0
ubg935:0 lbg935:0
ubg936:0 lbg936:0
ubg937:0 lbg937:0
ubg938:0 lbg938:0
ubg939:0 lbg939:0
ubg940:0 lbg940:0
ubg941:0 lbg941:0
ubg942:0 lbg942:0
ubg943:0 lbg943:0
ubg944:0 lbg944:0
ubg945:0 lbg945:0
ubg946:0 lbg946:0
ubg947:0 lbg947:0
ubg948:0 lbg948:0
ubg949:0 lbg949:0
ubg950:0 lbg950:0
ubg951:0 lbg951:0
ubg952:0 lbg952:0
ubg953:0 lbg953:0
ubg954:0 lbg954:0
ubg955:0 lbg955:0
ubg956:0 lbg956:0
ubg957:0 lbg957:0
ubg958:0 lbg958:0
ubg959:0 lbg959:0
ubg960:0 lbg960:0
ubg961:0 lbg961:0
ubg962:0 lbg962:0
ubg963:0 lbg963:0
ubg964:0 lbg964:0
ubg965:0 lbg965:0
ubg966:0 lbg966:0
ubg967:0 lbg967:0
ubg968:0 lbg968:0
ubg969:0.0002 lbg969:0.0001
ubg970:0.0002 lbg970:0.0001
ubg971:10000 lbg971:0
ubg972:0 lbg972:0
ubg973:0.0002 lbg973:0.0001
ubg974:0.0002 lbg974:0.0001
ubg975:10000 lbg975:0
ubg976:0 lbg976:0
ubg977:0.0002 lbg977:0.0001
ubg978:0.0002 lbg978:0.0001
ubg979:10000 lbg979:0
ubg980:0 lbg980:0
ubg981:0.0002 lbg981:0.0001
ubg982:0.0002 lbg982:0.0001
ubg983:10000 lbg983:0
ubg984:0 lbg984:0
ubg985:0.0002 lbg985:0.0001
ubg986:0.0002 lbg986:0.0001
ubg987:10000 lbg987:0
ubg988:0 lbg988:0
ubg989:0.0002 lbg989:0.0001
ubg990:0.0002 lbg990:0.0001
ubg991:10000 lbg991:0
ubg992:0 lbg992:0
