Zeit [h],Temperatur [°C],Globalstrahlung [kWh/m²],Heizwärmebedarf [kWh]
2234,4.22,0.00,0.00
2235,3.70,0.00,0.00
2236,3.08,0.00,0.00
2237,2.60,0.00,0.00
2238,2.43,0.00,0.00
2239,5.02,0.00,11.13
2240,7.67,0.02,9.13
2241,10.23,0.04,0.00
2242,13.33,0.16,0.00
2243,15.15,0.21,0.00
2244,15.95,0.23,0.00
2245,16.17,0.30,0.00
2246,16.87,0.30,0.00
2247,17.42,0.34,0.00
2248,16.33,0.26,0.00
2249,16.42,0.14,0.97
2250,15.40,0.14,2.08
2251,13.43,0.09,3.14
2252,11.93,0.03,4.17
2253,8.48,0.00,5.77
2254,6.80,0.00,6.74
2255,5.83,0.00,0.00
2256,4.68,0.00,0.00
2257,3.42,0.00,0.00
2258,3.02,0.00,0.00
2259,2.22,0.00,0.00
2260,1.98,0.00,0.01
2261,1.47,0.00,0.12
2262,1.88,0.00,0.19
2263,4.62,0.00,12.65
2264,7.43,0.01,10.12
2265,10.33,0.09,0.00
2266,13.52,0.16,0.00
2267,15.07,0.20,0.00
2268,15.77,0.17,0.00
2269,16.48,0.09,0.00
2270,16.18,0.15,0.00
2271,15.47,0.23,0.00
2272,14.03,0.27,0.00
2273,12.70,0.23,7.52
2274,12.25,0.03,7.37
2275,11.62,0.04,7.42
2276,10.92,0.03,7.68
2277,10.55,0.00,7.80
2278,10.00,0.00,7.91
2279,8.70,0.00,0.00
2280,7.58,0.00,0.00
2281,7.03,0.00,0.00
2282,7.02,0.00,0.00
2283,6.85,0.00,0.00
2284,6.30,0.00,0.00
2285,6.05,0.00,0.01
2286,6.25,0.00,0.08
2287,6.75,0.00,13.35
2288,7.70,0.01,11.63
2289,7.92,0.07,0.00
2290,8.28,0.06,0.00
2291,8.77,0.20,0.00
2292,9.08,0.29,0.00
2293,9.55,0.33,0.00
2294,10.30,0.24,0.00
2295,11.28,0.19,0.00
2296,11.53,0.27,0.00
2297,11.33,0.22,6.65
2298,10.28,0.14,7.31
2299,8.83,0.11,7.88
2300,7.23,0.03,9.40
2301,6.47,0.00,9.89
2302,4.18,0.00,10.84
2303,3.13,0.00,0.00
2304,2.55,0.00,0.01
2305,2.42,0.00,0.10
2306,2.33,0.00,0.24
2307,2.00,0.00,0.46
2308,1.57,0.00,0.69
2309,2.13,0.00,0.79
2310,2.40,0.00,0.86
2311,3.30,0.00,15.75
2312,5.55,0.03,13.07
2313,8.30,0.10,0.00
2314,10.65,0.17,0.00
2315,12.00,0.19,0.00
2316,13.15,0.29,0.00
2317,14.22,0.23,0.00
2318,15.37,0.28,0.00
2319,16.38,0.23,0.00
2320,16.90,0.08,0.00
2321,16.35,0.23,6.76
2322,15.03,0.17,6.08
2323,12.87,0.08,7.93
2324,11.62,0.04,8.86
2325,10.70,0.00,9.20
2326,8.37,0.00,10.01
2327,6.57,0.00,0.00
2328,5.70,0.00,0.00
2329,4.80,0.00,0.01
2330,4.00,0.00,0.13
2331,3.07,0.00,0.42
2332,2.67,0.00,0.67
2333,2.03,0.00,0.93
2334,2.43,0.00,1.02
2335,4.45,0.00,16.59
2336,7.00,0.02,13.66
2337,9.82,0.09,0.00
2338,12.95,0.16,0.00
2339,15.20,0.13,0.00
2340,16.30,0.18,0.00
2341,17.48,0.20,0.00
2342,18.93,0.19,0.00
2343,19.48,0.23,0.00
2344,19.72,0.24,0.00
2345,19.15,0.12,2.29
2346,16.77,0.12,3.86
2347,13.15,0.11,6.19
2348,9.93,0.04,8.07
2349,8.32,0.00,9.00
2350,7.25,0.00,9.27
2351,6.42,0.00,0.00
2352,5.37,0.00,0.00
2353,4.40,0.00,0.00
2354,3.82,0.00,0.01
2355,3.32,0.00,0.09
2356,2.87,0.00,0.22
2357,1.98,0.00,0.48
2358,2.93,0.00,0.57
2359,6.08,0.00,14.81
2360,8.85,0.02,11.81
2361,12.25,0.10,0.00
2362,15.42,0.13,0.00
2363,18.88,0.16,0.00
2364,20.42,0.29,0.00
2365,22.18,0.23,0.00
2366,23.02,0.36,0.00
2367,23.52,0.35,0.00
2368,23.92,0.21,0.00
2369,23.37,0.25,0.90
2370,19.85,0.12,1.64
2371,14.67,0.09,4.31
2372,12.15,0.04,6.44
2373,10.13,0.00,7.52
2374,8.60,0.00,8.25
2375,7.62,0.00,0.00
2376,7.40,0.00,0.00
2377,6.43,0.00,0.00
2378,5.53,0.00,0.00
2379,5.62,0.00,0.00
2380,5.05,0.00,0.01
2381,4.98,0.00,0.03
2382,5.97,0.00,0.03
2383,7.75,0.00,13.09
2384,11.02,0.02,10.78
2385,15.75,0.03,0.00
2386,17.37,0.01,0.00
2387,17.40,0.19,0.00
2388,17.02,0.30,0.00
2389,16.95,0.35,0.00
2390,16.30,0.36,0.00
2391,14.95,0.29,0.00
2392,13.52,0.31,0.00
2393,13.78,0.23,7.45
2394,13.43,0.12,7.30
2395,12.43,0.07,7.64
2396,11.18,0.02,8.12
2397,10.20,0.00,8.46
2398,8.95,0.00,8.84
2399,6.90,0.00,0.00
2400,4.85,0.00,0.00
2401,3.80,0.00,0.00
2402,3.03,0.00,0.02
2403,2.55,0.00,0.15
2404,2.53,0.00,0.34
2405,2.57,0.00,0.51
2406,3.22,0.00,0.57
2407,5.10,0.00,15.10
2408,7.10,0.03,12.93
2409,9.52,0.08,0.00
2410,10.82,0.18,0.00
2411,12.02,0.27,0.00
2412,13.72,0.30,0.00
2413,14.12,0.35,0.00
2414,14.67,0.36,0.00
2415,14.85,0.32,0.00
2416,15.40,0.31,0.00
2417,15.05,0.20,5.67
2418,13.32,0.20,6.13
2419,10.82,0.13,7.05
2420,8.07,0.04,9.09
2421,6.40,0.00,10.02
2422,5.35,0.00,10.39
2423,4.55,0.00,0.00
2424,4.40,0.00,0.00
2425,4.90,0.00,0.00
2426,4.37,0.00,0.01
2427,3.68,0.00,0.11
2428,3.37,0.00,0.28
2429,3.13,0.00,0.49
2430,3.37,0.00,0.61
2431,5.08,0.00,14.41
2432,7.87,0.05,11.16
2433,11.70,0.10,0.00
2434,14.02,0.13,0.00
2435,15.35,0.15,0.00
2436,16.37,0.14,0.00
2437,17.08,0.16,0.00
2438,17.70,0.15,0.00
2439,17.85,0.14,0.00
2440,17.48,0.13,0.00
2441,16.72,0.15,2.29
2442,16.22,0.10,2.38
2443,15.18,0.10,4.12
2444,13.77,0.04,5.41
2445,13.48,0.00,5.81
2446,12.60,0.00,6.25
2447,11.97,0.00,0.00
2448,11.22,0.00,0.00
2449,10.82,0.00,0.00
2450,10.33,0.00,0.00
2451,9.42,0.00,0.00
2452,8.98,0.00,0.00
2453,8.72,0.00,0.00
2454,8.83,0.00,0.00
2455,9.45,0.00,10.69
2456,10.15,0.04,7.70
2457,11.05,0.10,0.00
2458,12.50,0.11,0.00
2459,13.38,0.21,0.00
2460,14.87,0.20,0.00
2461,15.85,0.23,0.00
2462,16.37,0.26,0.00
2463,16.45,0.35,0.00
2464,15.88,0.31,0.00
2465,15.40,0.18,1.65
2466,14.68,0.15,2.45
2467,13.35,0.12,3.01
2468,12.12,0.06,4.73
2469,12.05,0.00,5.14
2470,10.78,0.00,5.63
2471,9.95,0.00,0.00
2472,8.23,0.00,0.00
2473,7.75,0.00,0.00
2474,8.75,0.00,0.00
2475,8.52,0.00,0.00
2476,8.30,0.00,0.00
2477,8.00,0.00,0.00
2478,7.97,0.00,0.00
2479,8.60,0.00,10.32
2480,9.43,0.01,8.95
2481,11.15,0.07,0.00
2482,12.72,0.19,0.00
2483,13.27,0.26,0.00
2484,14.17,0.25,0.00
2485,15.33,0.29,0.00
2486,16.17,0.29,0.00
2487,16.23,0.21,0.00
2488,16.05,0.22,0.00
2489,15.72,0.18,4.69
2490,15.07,0.19,5.15
2491,13.87,0.08,5.64
2492,12.53,0.03,6.23
2493,9.77,0.00,7.33
2494,8.52,0.00,7.98
2495,7.85,0.00,0.00
2496,7.42,0.00,0.00
2497,6.92,0.00,0.00
2498,6.45,0.00,0.00
2499,6.33,0.00,0.00
2500,5.97,0.00,0.00
2501,6.23,0.00,0.00
2502,6.90,0.00,0.00
2503,8.32,0.00,12.16
2504,10.00,0.00,9.85
2505,11.07,0.10,0.00
2506,11.17,0.18,0.00
2507,11.32,0.27,0.00
2508,11.08,0.31,0.00
2509,11.83,0.34,0.00
2510,12.38,0.16,0.00
2511,11.48,0.08,0.00
2512,11.12,0.17,0.00
2513,11.82,0.26,9.02
2514,11.97,0.11,8.60
2515,11.40,0.03,8.43
2516,10.63,0.04,8.66
2517,8.12,0.00,9.46
2518,6.58,0.00,10.11
2519,6.85,0.00,0.00
2520,7.48,0.00,0.00
2521,6.68,0.00,0.00
2522,7.30,0.00,0.00
2523,6.70,0.00,0.00
2524,6.10,0.00,0.00
2525,5.20,0.00,0.10
2526,5.88,0.00,0.17
2527,7.42,0.00,14.03
2528,8.60,0.02,12.24
2529,9.60,0.04,0.00
2530,10.52,0.12,0.00
2531,11.03,0.14,0.00
2532,10.38,0.16,0.00
2533,9.70,0.09,0.00
2534,10.52,0.14,0.00
2535,10.13,0.14,0.00
2536,9.77,0.12,0.00
2537,10.00,0.13,13.14
2538,9.98,0.01,12.02
2539,9.57,0.05,11.63
2540,8.43,0.02,11.72
2541,7.22,0.00,11.97
2542,7.63,0.00,11.73
2543,8.05,0.00,0.00
2544,8.12,0.00,0.00
2545,7.95,0.00,0.00
2546,7.88,0.00,0.00
2547,8.03,0.00,0.04
2548,8.30,0.00,0.10
2549,7.98,0.00,0.24
2550,7.33,0.00,0.48
2551,7.82,0.00,15.11
2552,8.47,0.05,13.04
2553,9.22,0.12,0.00
2554,8.40,0.19,0.00
2555,7.47,0.25,0.00
2556,7.82,0.32,0.00
2557,8.08,0.30,0.00
2558,8.38,0.36,0.00
2559,9.37,0.36,0.00
2560,9.78,0.24,0.00
2561,9.67,0.27,11.34
2562,9.53,0.20,9.35
2563,8.48,0.09,9.73
2564,7.80,0.05,11.24
2565,6.17,0.00,11.88
2566,5.25,0.00,12.40
2567,4.35,0.00,0.00
2568,3.95,0.00,0.02
2569,3.52,0.00,0.23
2570,2.30,0.00,0.69
2571,0.68,0.00,1.16
2572,0.12,0.00,1.40
2573,-0.12,0.00,1.80
2574,0.58,0.00,1.92
2575,4.25,0.00,17.85
2576,5.30,0.04,14.62
2577,6.53,0.12,0.00
2578,8.12,0.09,0.00
2579,9.00,0.17,0.00
2580,9.93,0.29,0.00
2581,10.58,0.36,0.00
2582,10.43,0.37,0.00
2583,9.13,0.37,0.00
2584,8.98,0.19,0.00
2585,8.07,0.21,14.39
2586,8.13,0.14,13.45
2587,6.57,0.09,13.73
2588,5.75,0.01,13.79
2589,4.50,0.00,14.06
2590,3.37,0.00,14.26
2591,2.07,0.00,0.08
2592,1.33,0.00,0.51
2593,0.13,0.00,1.07
2594,-0.67,0.00,1.65
2595,-1.00,0.00,2.35
2596,-0.57,0.00,2.65
2597,0.10,0.00,2.82
2598,1.15,0.00,2.80
2599,3.02,0.00,19.46
2600,4.02,0.01,17.34
2601,4.77,0.04,0.31
2602,5.20,0.04,0.47
2603,6.10,0.08,0.60
2604,6.82,0.11,0.77
2605,7.10,0.04,0.84
2606,8.27,0.04,0.66
2607,8.18,0.10,0.73
2608,8.00,0.10,0.82
2609,7.82,0.09,18.01
2610,6.63,0.06,17.30
2611,6.02,0.00,16.64
2612,5.63,0.01,16.30
2613,3.52,0.00,16.49
2614,0.97,0.00,17.31
2615,-0.37,0.00,0.94
2616,-1.00,0.00,2.17
2617,-1.13,0.00,3.19
2618,-1.65,0.00,4.04
2619,-2.15,0.00,4.68
2620,-2.55,0.00,5.29
2621,-2.63,0.00,5.68
2622,-1.10,0.00,5.51
2623,1.05,0.00,21.17
2624,3.60,0.05,18.52
2625,5.90,0.12,0.21
2626,7.20,0.15,0.50
2627,8.17,0.06,0.47
2628,9.53,0.17,0.05
2629,10.60,0.35,0.02
2630,11.37,0.28,0.00
2631,11.98,0.36,0.00
2632,12.52,0.29,0.00
2633,12.53,0.22,15.87
2634,11.47,0.05,14.84
2635,7.62,0.10,15.70
2636,5.18,0.03,16.40
2637,4.70,0.00,16.47
2638,2.95,0.00,16.64
2639,2.85,0.00,0.36
2640,2.03,0.00,1.09
2641,0.78,0.00,2.46
2642,-0.17,0.00,3.50
2643,-0.88,0.00,4.27
2644,-1.33,0.00,4.87
2645,-1.65,0.00,5.36
2646,0.33,0.00,5.05
2647,3.10,0.00,21.07
2648,5.72,0.03,18.37
2649,9.05,0.08,0.05
2650,11.77,0.06,0.00
2651,13.35,0.09,0.00
2652,13.93,0.13,0.00
2653,14.35,0.17,0.00
2654,15.33,0.20,0.00
2655,16.12,0.16,0.00
2656,15.63,0.01,0.00
2657,15.45,0.07,15.06
2658,14.67,0.11,13.86
2659,14.42,0.11,13.48
2660,13.97,0.02,13.14
2661,13.32,0.00,13.00
2662,12.73,0.00,12.83
2663,12.18,0.00,0.00
2664,11.62,0.00,0.00
2665,11.57,0.00,0.00
2666,11.27,0.00,0.04
2667,11.18,0.00,0.19
2668,10.82,0.00,0.37
2669,10.48,0.00,0.51
2670,10.45,0.00,0.61
2671,11.02,0.00,16.69
2672,11.77,0.05,14.93
2673,12.32,0.07,0.00
2674,11.12,0.20,0.00
2675,8.40,0.23,0.00
2676,8.27,0.29,0.00
2677,9.83,0.36,0.00
2678,10.77,0.34,0.00
2679,11.78,0.35,0.00
2680,12.33,0.21,0.00
2681,11.98,0.09,14.53
2682,11.02,0.04,13.13
2683,10.18,0.13,13.24
2684,9.43,0.04,13.31
2685,8.70,0.00,13.25
2686,7.97,0.00,13.31
2687,6.90,0.00,0.00
2688,4.48,0.00,0.10
2689,3.20,0.00,0.65
2690,3.25,0.00,0.93
2691,3.40,0.00,1.13
2692,3.18,0.00,1.58
2693,2.70,0.00,2.03
2694,3.07,0.00,2.54
2695,6.10,0.00,17.25
2696,7.53,0.06,15.20
2697,7.40,0.13,0.00
2698,8.10,0.22,0.00
2699,9.45,0.21,0.00
2700,10.55,0.33,0.00
2701,11.13,0.35,0.00
2702,11.72,0.23,0.00
2703,12.18,0.31,0.00
2704,12.77,0.30,0.00
2705,12.40,0.27,12.96
2706,11.13,0.12,11.82
2707,9.73,0.13,11.82
2708,7.72,0.06,12.99
2709,5.13,0.00,13.88
2710,3.55,0.00,14.49
2711,2.38,0.00,0.04
2712,1.53,0.00,0.40
2713,0.77,0.00,0.97
2714,-0.32,0.00,1.69
2715,-0.67,0.00,2.49
2716,-1.03,0.00,3.06
2717,-1.18,0.00,3.58
2718,0.97,0.00,3.23
2719,3.40,0.00,19.41
2720,5.97,0.04,16.61
2721,9.17,0.10,0.00
2722,11.83,0.16,0.00
2723,13.47,0.21,0.00
2724,14.90,0.27,0.00
2725,15.57,0.27,0.00
2726,16.25,0.28,0.00
2727,16.82,0.25,0.00
2728,17.07,0.28,0.00
2729,17.20,0.15,6.85
2730,16.45,0.19,7.96
2731,15.05,0.13,8.55
2732,14.00,0.07,9.25
2733,12.78,0.01,9.71
2734,10.23,0.00,10.47
2735,9.28,0.00,0.00
2736,8.00,0.00,0.00
2737,6.65,0.00,0.00
2738,6.42,0.00,0.01
2739,5.90,0.00,0.13
2740,5.95,0.00,0.30
2741,6.95,0.00,0.32
2742,7.93,0.00,0.25
2743,7.87,0.00,15.60
2744,6.38,0.04,14.03
2745,6.52,0.13,0.00
2746,7.33,0.13,0.00
2747,8.40,0.16,0.00
2748,9.00,0.30,0.00
2749,9.93,0.22,0.00
2750,10.48,0.24,0.00
2751,11.05,0.33,0.00
2752,10.65,0.18,0.00
2753,10.52,0.28,11.05
2754,9.55,0.19,11.22
2755,8.45,0.14,10.86
2756,7.53,0.06,12.07
2757,6.95,0.01,12.31
2758,6.40,0.00,12.42
2759,5.80,0.00,0.00
2760,5.28,0.00,0.00
2761,4.40,0.00,0.12
2762,4.00,0.00,0.45
2763,3.83,0.00,0.70
2764,3.65,0.00,0.85
2765,3.57,0.00,1.00
2766,4.37,0.00,1.00
2767,6.12,0.01,17.02
2768,7.28,0.06,14.69
2769,8.60,0.12,0.00
2770,9.50,0.10,0.00
2771,10.17,0.23,0.00
2772,10.80,0.33,0.00
2773,11.45,0.22,0.00
2774,11.20,0.29,0.00
2775,10.92,0.22,0.00
2776,10.58,0.24,0.00
2777,9.25,0.28,12.79
2778,8.63,0.23,11.53
2779,8.25,0.13,10.90
2780,7.50,0.07,12.23
2781,6.85,0.01,12.65
2782,6.90,0.00,12.45
2783,5.95,0.00,0.00
2784,4.72,0.00,0.02
2785,3.85,0.00,0.26
2786,2.08,0.00,0.83
2787,0.70,0.00,1.24
2788,-0.10,0.00,1.91
2789,-0.43,0.00,2.52
2790,1.43,0.00,2.26
2791,4.13,0.01,16.78
2792,6.70,0.07,13.52
2793,8.78,0.12,0.00
2794,9.58,0.12,0.00
2795,10.42,0.14,0.00
2796,10.53,0.24,0.00
2797,10.75,0.26,0.00
2798,10.88,0.28,0.00
2799,10.97,0.32,0.00
2800,11.52,0.27,0.00
2801,11.08,0.22,7.97
2802,9.98,0.13,7.93
2803,8.83,0.09,8.12
2804,7.37,0.05,10.39
2805,6.93,0.02,10.71
2806,5.07,0.00,11.55
2807,3.22,0.00,0.00
2808,1.30,0.00,0.03
2809,0.30,0.00,0.33
2810,-0.13,0.00,0.72
2811,-0.93,0.00,1.06
2812,-1.43,0.00,1.42
2813,-1.48,0.00,1.85
2814,0.75,0.00,1.44
2815,2.62,0.02,17.04
2816,5.82,0.07,12.37
2817,8.35,0.10,0.00
2818,9.32,0.09,0.00
2819,9.88,0.15,0.00
2820,9.67,0.22,0.00
2821,10.27,0.25,0.00
2822,10.67,0.29,0.00
2823,8.02,0.26,0.00
2824,9.63,0.25,0.00
2825,9.10,0.26,8.57
2826,8.77,0.16,8.29
2827,8.30,0.13,9.75
2828,7.47,0.05,10.24
2829,6.37,0.02,10.83
2830,5.88,0.00,10.97
2831,5.78,0.00,0.00
2832,5.52,0.00,0.00
2833,4.65,0.00,0.00
2834,4.20,0.00,0.01
2835,3.63,0.00,0.16
2836,3.43,0.00,0.34
2837,3.28,0.00,0.53
2838,3.37,0.00,0.60
2839,4.57,0.02,15.34
2840,6.80,0.07,12.42
2841,9.60,0.15,0.00
2842,11.25,0.18,0.00
2843,12.07,0.17,0.00
2844,13.17,0.22,0.00
2845,13.82,0.23,0.00
2846,14.53,0.28,0.00
2847,15.48,0.25,0.00
2848,15.75,0.23,0.00
2849,15.48,0.15,4.16
2850,14.38,0.15,4.57
2851,11.63,0.13,6.74
2852,11.33,0.07,7.56
2853,9.08,0.01,8.52
2854,7.27,0.00,9.40
2855,6.22,0.00,0.00
2856,5.48,0.00,0.00
2857,4.10,0.00,0.00
2858,4.80,0.00,0.00
2859,5.12,0.00,0.00
2860,4.67,0.00,0.03
2861,4.67,0.00,0.11
2862,6.37,0.00,0.07
2863,8.52,0.02,11.49
2864,11.17,0.06,8.15
2865,14.83,0.09,0.00
2866,16.42,0.19,0.00
2867,17.65,0.28,0.00
2868,18.72,0.34,0.00
2869,19.03,0.36,0.00
2870,20.02,0.38,0.00
2871,20.37,0.30,0.00
2872,20.37,0.29,0.00
2873,19.62,0.28,2.51
2874,18.67,0.20,3.16
2875,16.98,0.13,3.70
2876,13.98,0.07,5.53
2877,14.68,0.01,5.65
2878,15.78,0.00,4.95
2879,15.67,0.00,0.00
2880,15.13,0.00,0.00
2881,14.62,0.00,0.00
2882,13.43,0.00,0.00
2883,11.53,0.00,0.00
2884,10.15,0.00,0.00
2885,9.13,0.00,0.00
2886,8.77,0.00,0.00
2887,8.83,0.02,0.00
2888,9.18,0.06,0.00
2889,9.53,0.12,0.00
2890,10.32,0.16,0.00
2891,10.87,0.16,0.00
2892,10.67,0.19,0.00
2893,10.97,0.23,0.00
2894,12.67,0.28,0.00
2895,12.87,0.25,0.00
2896,13.12,0.25,0.00
2897,13.23,0.20,0.00
2898,12.95,0.14,0.00
2899,10.62,0.14,0.00
2900,8.45,0.08,0.00
2901,7.65,0.03,0.00
2902,6.90,0.00,0.00
2903,5.98,0.00,0.00
2904,4.92,0.00,0.00
2905,4.75,0.00,0.00
2906,4.32,0.00,0.00
2907,3.55,0.00,0.00
2908,3.18,0.00,0.00
2909,2.90,0.00,0.00
2910,3.68,0.00,0.00
2911,5.12,0.01,0.00
2912,8.45,0.07,0.00
2913,10.72,0.09,0.00
2914,11.80,0.20,0.00
2915,13.17,0.21,0.00
2916,13.40,0.35,0.00
2917,12.35,0.37,0.00
2918,12.33,0.35,0.00
2919,12.92,0.38,0.00
2920,12.60,0.29,0.00
2921,12.45,0.29,0.00
2922,11.77,0.22,0.00
2923,10.88,0.15,0.00
2924,10.58,0.07,0.00
2925,10.23,0.02,0.00
2926,10.13,0.00,0.00
2927,9.68,0.00,0.00
2928,9.37,0.00,0.00
2929,9.22,0.00,0.00
2930,9.20,0.00,0.00
2931,9.00,0.00,0.00
2932,8.90,0.00,0.00
2933,8.97,0.00,0.00
2934,9.18,0.00,0.00
2935,10.07,0.03,0.00
2936,10.98,0.08,0.00
2937,12.28,0.12,0.00
2938,13.52,0.20,0.00
2939,14.47,0.18,0.00
2940,14.25,0.27,0.00
2941,14.37,0.25,0.00
2942,13.28,0.30,0.00
2943,12.75,0.38,0.00
2944,14.02,0.36,0.00
2945,11.72,0.27,0.00
2946,10.48,0.23,0.00
2947,9.87,0.12,0.00
2948,9.07,0.08,0.00
2949,7.97,0.03,0.00
2950,7.10,0.00,0.00
2951,7.58,0.00,0.00
2952,7.93,0.00,0.00
2953,7.77,0.00,0.00
2954,7.65,0.00,0.00
2955,7.65,0.00,0.00
2956,7.88,0.00,0.00
2957,8.13,0.00,0.00
2958,8.93,0.00,0.00
2959,9.72,0.02,0.00
2960,11.02,0.09,0.00
2961,12.65,0.17,0.00
2962,13.90,0.24,0.00
2963,14.80,0.29,0.00
2964,15.48,0.35,0.00
2965,14.75,0.38,0.00
2966,15.07,0.29,0.00
2967,13.80,0.34,0.00
2968,13.62,0.35,0.00
2969,13.07,0.30,0.00
2970,12.42,0.23,0.00
2971,11.75,0.16,0.00
2972,11.38,0.08,0.00
2973,11.33,0.02,0.00
2974,11.08,0.00,0.00
2975,11.22,0.00,0.00
2976,10.97,0.00,0.00
2977,10.73,0.00,0.00
2978,10.45,0.00,0.00
2979,10.07,0.00,0.00
2980,9.77,0.00,0.00
2981,9.60,0.00,0.00
2982,9.70,0.00,0.00
2983,9.87,0.02,0.00
2984,10.43,0.08,0.00
2985,10.77,0.17,0.00
2986,11.23,0.24,0.00
2987,12.63,0.23,0.00
2988,14.57,0.19,0.00
2989,15.62,0.27,0.00
2990,15.83,0.19,0.00
2991,16.58,0.22,0.00
2992,16.47,0.25,0.00
2993,16.25,0.21,0.00
2994,15.90,0.16,0.00
2995,14.43,0.16,0.00
2996,12.27,0.08,0.00
2997,11.28,0.00,0.00
2998,10.87,0.00,0.00
2999,10.07,0.00,0.00
3000,9.38,0.00,0.00
3001,8.75,0.00,0.00
3002,8.52,0.00,0.00
3003,8.08,0.00,0.00
3004,7.53,0.00,0.00
3005,7.63,0.00,0.00
3006,8.87,0.00,0.00
3007,10.27,0.03,0.00
3008,12.58,0.08,0.00
3009,15.12,0.14,0.00
3010,17.72,0.20,0.00
3011,18.12,0.16,0.00
3012,18.60,0.17,0.00
3013,18.90,0.19,0.00
3014,18.15,0.16,0.00
3015,16.45,0.16,0.00
3016,15.40,0.23,0.00
3017,14.57,0.13,0.00
3018,14.35,0.09,0.00
3019,13.03,0.12,0.00
3020,12.75,0.08,0.00
3021,12.75,0.03,0.00
3022,12.47,0.00,0.00
3023,12.02,0.00,0.00
3024,11.92,0.00,0.00
3025,11.70,0.00,0.00
3026,11.80,0.00,0.00
3027,11.98,0.00,0.00
3028,12.00,0.00,0.00
3029,12.05,0.00,0.00
3030,12.27,0.00,0.00
3031,12.80,0.03,0.00
3032,13.47,0.09,0.00
3033,13.68,0.13,0.00
3034,14.88,0.17,0.00
3035,14.95,0.14,0.00
3036,13.77,0.15,0.00
3037,14.90,0.24,0.00
3038,14.87,0.19,0.00
3039,15.58,0.28,0.00
3040,16.18,0.18,0.00
3041,14.10,0.18,0.00
3042,12.90,0.18,0.00
3043,13.00,0.13,0.00
3044,12.95,0.06,0.00
3045,12.60,0.03,0.00
3046,12.00,0.00,0.00
3047,11.73,0.00,0.00
3048,11.30,0.00,0.00
3049,11.12,0.00,0.00
3050,11.02,0.00,0.00
3051,10.60,0.00,0.00
3052,9.58,0.00,0.00
3053,8.42,0.00,0.00
3054,8.33,0.00,0.00
3055,8.50,0.03,0.00
3056,8.95,0.09,0.00
3057,9.48,0.18,0.00
3058,9.92,0.26,0.00
3059,10.47,0.31,0.00
3060,10.27,0.37,0.00
3061,10.73,0.37,0.00
3062,10.98,0.26,0.00
3063,11.22,0.18,0.00
3064,11.22,0.31,0.00
3065,11.10,0.20,0.00
3066,10.92,0.04,0.00
3067,10.42,0.09,0.00
3068,9.42,0.05,0.00
3069,9.08,0.02,0.00
3070,8.67,0.00,0.00
3071,7.60,0.00,0.00
3072,6.43,0.00,0.00
3073,6.78,0.00,0.00
3074,7.15,0.00,0.00
3075,6.93,0.00,0.00
3076,5.92,0.00,0.00
3077,6.00,0.00,0.00
3078,7.22,0.00,0.00
3079,8.52,0.03,0.00
3080,10.03,0.07,0.00
3081,11.03,0.16,0.00
3082,11.90,0.18,0.00
3083,12.58,0.20,0.00
3084,13.32,0.24,0.00
3085,14.02,0.37,0.00
3086,14.57,0.39,0.00
3087,14.95,0.39,0.00
3088,15.12,0.36,0.00
3089,15.08,0.29,0.00
3090,14.03,0.24,0.00
3091,12.58,0.13,0.00
3092,10.30,0.07,0.00
3093,7.87,0.01,0.00
3094,6.72,0.00,0.00
3095,5.62,0.00,0.00
3096,4.52,0.00,0.00
3097,3.55,0.00,0.00
3098,2.58,0.00,0.00
3099,1.88,0.00,0.00
3100,1.48,0.00,0.00
3101,1.85,0.00,0.00
3102,4.22,0.00,0.00
3103,6.60,0.03,0.00
3104,9.37,0.06,0.00
3105,12.75,0.08,0.00
3106,15.10,0.15,0.00
3107,16.58,0.17,0.00
3108,17.75,0.21,0.00
3109,19.02,0.23,0.00
3110,19.87,0.26,0.00
3111,20.77,0.24,0.00
3112,21.43,0.23,0.00
3113,21.23,0.27,0.00
3114,20.23,0.27,0.00
3115,16.07,0.18,0.00
3116,13.02,0.09,0.00
3117,11.00,0.02,0.00
3118,10.05,0.00,0.00
3119,9.25,0.00,0.00
3120,8.50,0.00,0.00
3121,8.23,0.00,0.00
3122,7.90,0.00,0.00
3123,8.63,0.00,0.00
3124,8.70,0.00,0.00
3125,9.03,0.00,0.00
3126,9.90,0.00,0.00
3127,10.95,0.02,0.00
3128,13.72,0.06,0.00
3129,16.95,0.16,0.00
3130,20.40,0.25,0.00
3131,21.85,0.20,0.00
3132,22.70,0.34,0.00
3133,23.68,0.38,0.00
3134,23.00,0.35,0.00
3135,21.95,0.38,0.00
3136,21.20,0.35,0.00
3137,19.73,0.29,0.00
3138,17.95,0.17,0.00
3139,17.38,0.16,0.00
3140,16.72,0.09,0.00
3141,15.78,0.03,0.00
3142,15.12,0.00,0.00
3143,14.67,0.00,0.00
3144,14.52,0.00,0.00
3145,14.28,0.00,0.00
3146,13.68,0.00,0.00
3147,13.55,0.00,0.00
3148,13.65,0.00,0.00
3149,13.73,0.00,0.00
3150,13.83,0.00,0.00
3151,14.80,0.02,0.00
3152,15.77,0.07,0.00
3153,16.55,0.10,0.00
3154,17.97,0.11,0.00
3155,18.85,0.21,0.00
3156,18.87,0.25,0.00
3157,21.00,0.37,0.00
3158,20.18,0.40,0.00
3159,18.92,0.34,0.00
3160,18.32,0.28,0.00
3161,18.55,0.31,0.00
